start,date,fomc_latest,Event,FF1,FF2,FF3,FF4,MP1,ED1,ED2,ED3,ED4,TFUT02,TFUT05,TFUT10,TFUT30,SP500,SP500FUT,EUR,FF4_MR
12/18/1990 15:30,12/18/1990,12/18/1990,FOMC Rate Decision (Scheduled),-0.09,-0.19,-0.09,-0.15,-0.21462,-0.14,-0.11,-0.09,0.02,,-0.08395,-0.04886,-0.04126,0.71884,0.95045,,0.03
1/8/1991 11:30,1/8/1991,12/19/1990,FOMC Rate Decision (Unscheduled),-0.1,-0.11,-0.06001,-0.1,-0.13478,-0.12,-0.12,-0.09,-0.1,-0.02449,-0.05144,-0.06304,-0.04586,0.36169,0.48769,,0
2/1/1991 9:15,2/1/1991,12/19/1990,FOMC Rate Decision (Unscheduled),,,,-0.2,,,,,,,,,,,,,-0.05
2/7/1991 11:30,2/7/1991,2/7/1991,FOMC Rate Decision (Scheduled),0,-0.01,-0.02,-0.01,0,0,-0.01,0,-0.01,0,0,0,0.00936,-0.22618,0,,-0.02
3/8/1991 11:30,3/8/1991,2/7/1991,FOMC Rate Decision (Unscheduled),-0.02,-0.07,-0.06,-0.04,-0.02695,-0.06,-0.09,-0.06,-0.05,0.0049,-0.03319,-0.02706,-0.01636,0.48314,0.18428,,0.00999
3/27/1991 11:30,3/27/1991,3/27/1991,FOMC Rate Decision (Scheduled),0,-0.02,0.01,-0.02,-0.02,-0.01,-0.02,-0.02,-0.09,0,-0.0037,-0.00905,-0.00656,0.12454,0.22335,,0
4/30/1991 9:30,4/30/1991,3/27/1991,FOMC Rate Decision (Unscheduled),,,,-0.19,,,,,,,,,,,,,-0.03
5/15/1991 11:30,5/15/1991,5/15/1991,FOMC Rate Decision (Scheduled),0.01,0,0,-0.02,0.01938,0,0,0.01,0.01,-0.00325,0.00368,0.00901,0.00983,-0.24255,-0.08057,,0
7/5/1991 11:30,7/5/1991,7/4/1991,FOMC Rate Decision (Scheduled),0,-0.01,0.01,0.01,0,0.02,0.02,0.02,0,0.01639,0.0149,0.02292,0.02699,-0.00533,-0.10592,,-0.13
8/6/1991 11:30,8/6/1991,7/4/1991,FOMC Rate Decision (Unscheduled),-0.15,-0.10001,-0.07,-0.11,-0.186,-0.12,-0.12,-0.11,-0.1,-0.02429,-0.05111,-0.03111,-0.02244,0.36092,0.60759,,-0.01
8/21/1991 11:30,8/21/1991,8/21/1991,FOMC Rate Decision (Scheduled),0.04,0.03,0.04,0.03,0.124,0,0.03,0.03,0.03,0.00483,0.0036,0,0.00314,0.12205,0.01296,,-0.01
9/13/1991 9:10,9/13/1991,8/21/1991,FOMC Rate Decision (Unscheduled),-0.03,0.00999,0,0,-0.05294,-0.01,0,0.01,0,0.02097,0.00359,-0.00433,0.00307,0.11105,-0.12814,,0
10/2/1991 11:30,10/2/1991,10/2/1991,FOMC Rate Decision (Scheduled),-0.01,0.01,0,0,-0.01069,0,0,0.01,0,0,0,0.00429,0,-0.04619,-0.06377,,0.04
10/30/1991 11:30,10/30/1991,10/2/1991,FOMC Rate Decision (Unscheduled),-0.02,-0.03001,-0.03,-0.04,-0.03001,-0.01,-0.01,-0.01,0,0.01118,-0.00706,0.00427,-0.00304,0.02805,0,,-0.09
11/6/1991 8:45,11/6/1991,11/6/1991,FOMC Rate Decision (Scheduled),-0.08,-0.12,-0.09,-0.12,-0.1,-0.08,-0.09,-0.09,-0.09,0.00797,-0.05295,-0.03855,-0.03391,0.06689,-0.11554,,-0.02
12/6/1991 11:30,12/6/1991,11/6/1991,FOMC Rate Decision (Unscheduled),0,-0.09,-0.02,-0.01,0,0.01,0.01,0.01,0.03,0.01268,0.00695,0.00841,0.00898,0.0237,0.01315,,0.01
12/18/1991 11:30,12/18/1991,12/18/1991,FOMC Rate Decision (Scheduled),0.02,0.02,0,0.01,0.04769,0,0.01,0.01,0.07,0.03162,0.00348,0,-0.00298,0.00262,0.03908,,0
12/20/1991 8:30,12/20/1991,12/18/1991,FOMC Rate Decision (Unscheduled),-0.13448,-0.28966,-0.25862,-0.25862,-0.37898,-0.3,-0.3,-0.25,-0.23793,-0.18131,-0.12449,-0.09564,-0.04694,0.31868,1.02194,,0
2/6/1992 11:30,2/6/1992,2/6/1992,FOMC Rate Decision (Scheduled),0.01,0.01,-0.02,0,0.01261,-0.01,0,0.01,0,0.01263,0.00349,-0.00418,-0.00297,0.03621,0,,-0.01
4/1/1992 11:30,4/1/1992,4/1/1992,FOMC Rate Decision (Scheduled),0.01,-0.00999,0.06,-0.01,0.01035,0.01,0,0,0.02,0.0048,-0.00356,0,-0.00614,-0.14205,-0.07467,,0
4/9/1992 11:30,4/9/1992,4/1/1992,FOMC Rate Decision (Unscheduled),-0.15,-0.2,-0.17001,-0.19,-0.21429,-0.22,-0.25,-0.24,-0.24,-0.1508,-0.09875,-0.04273,-0.03047,0.75332,0.86548,,0
5/20/1992 11:30,5/20/1992,5/20/1992,FOMC Rate Decision (Scheduled),0,0.02,0.03,0.00999,0,0.02,0.02,0.01,0.01,0.03151,0.00348,-0.00419,-0.0149,-0.04802,-0.024,,-0.01
7/2/1992 9:15,7/2/1992,7/2/1992,FOMC Rate Decision (Scheduled),-0.08,-0.09,-0.1,-0.3,-0.08552,0,0.02,0.04,0.04,0.0235,0.02056,0.02473,0.00878,0.22288,-0.03629,,0.00999
8/19/1992 11:30,8/19/1992,8/19/1992,FOMC Rate Decision (Scheduled),0.01,0.01,0.01,0.01,0.02583,-0.01,0.01,-0.01,-0.01,0.01858,0,0,0,0.02617,0.02379,,0.01
9/4/1992 11:30,9/4/1992,8/19/1992,FOMC Rate Decision (Unscheduled),0,0,-0.01,0.01,0,-0.02,-0.01,0,-0.02,-0.00311,0.00334,0.0119,0.01945,-0.00719,0,,0.07
10/7/1992 11:30,10/7/1992,10/7/1992,FOMC Rate Decision (Scheduled),0,0.00999,0.00999,0.01,0,0,0,0,0,0.02324,0.01002,0,-0.00571,-0.19372,-0.07365,,-0.25
11/18/1992 11:30,11/18/1992,11/18/1992,FOMC Rate Decision (Scheduled),-0.02,-0.01,0.01,0,-0.04999,0,-0.01,0,0.01,0.01566,0,0.00407,0.00287,0.19022,0.35591,,0
12/23/1992 11:30,12/23/1992,12/23/1992,FOMC Rate Decision (Scheduled),0.00999,0,-0.02,-0.01,0.03873,-0.01,-0.01,-0.01,-0.04,0,-0.00343,0,0,-0.07718,-0.1019,,0
2/4/1993 11:30,2/4/1993,2/4/1993,FOMC Rate Decision (Scheduled),0,-0.02,-0.04,-0.02,0,0,-0.01,0,0,0,0.00669,0.00394,0,-0.05131,-0.07802,,0
3/24/1993 11:30,3/24/1993,3/24/1993,FOMC Rate Decision (Scheduled),-0.01,0,0.01,0,0,0,0,0,0.04,0.01239,0.0033,0.00772,0.00523,-0.0844,-0.14413,,-0.02
5/19/1993 11:30,5/19/1993,5/19/1993,FOMC Rate Decision (Scheduled),-0.01,-0.02,-0.02,-0.02,-0.02583,0,-0.01,-0.02,-0.03,-0.02011,-0.01319,-0.01545,-0.01857,0.16628,0.19366,,0.04
7/8/1993 11:30,7/8/1993,7/8/1993,FOMC Rate Decision (Scheduled),0.02,0,0,0,0.02696,0,-0.01,0,0,-0.0155,-0.00328,-0.00759,-0.00253,0.31433,0.23544,,-0.07
8/18/1993 11:30,8/18/1993,8/18/1993,FOMC Rate Decision (Scheduled),0,0.02,0.01,0.01,0,0.01,0,0,0,0.01546,0.00654,0.0113,0.00245,-0.05693,-0.09854,,0.015
9/22/1993 11:30,9/22/1993,9/22/1993,FOMC Rate Decision (Scheduled),0,0,0.01,0.01,0,0,0.01,0.01,-0.02,0.01547,0.0065,0.00747,0.00962,0.0022,-0.01097,,0.04
11/17/1993 11:30,11/17/1993,11/17/1993,FOMC Rate Decision (Scheduled),0.01,0,0.01,0,0.02308,-0.01,-0.01,-0.01,0,0.00465,-0.00977,-0.01498,-0.00723,0.04721,-0.08583,,0.06001
12/22/1993 11:30,12/22/1993,12/22/1993,FOMC Rate Decision (Scheduled),0,-0.01,-0.01,-0.01,0,0,0,0,-0.08,0,0,0,0.00497,0.01719,-0.03212,,-0.005
2/4/1994 11:05,2/4/1994,2/4/1994,FOMC Rate Decision (Scheduled),0.14,0.10001,0.08,0,0.16333,0.13,0.15,0.14,0.15,0.14319,0.12186,0.0684,0.03211,-0.64105,-0.7626,,0.005
3/22/1994 14:20,3/22/1994,3/22/1994,FOMC Rate Decision (Scheduled),0,-0.04,-0.04,0,-0.00001,-0.05,-0.05,-0.03,-0.05,-0.03486,-0.06157,-0.04815,-0.04026,0.29613,0.28682,,-0.00999
4/18/1994 10:06,4/18/1994,3/22/1994,FOMC Rate Decision (Unscheduled),0.06001,0.08,0.09,0.12,0.15001,0.07,0.09,0.09,0.12,0.06863,0.07701,0.0541,0.03442,-0.68128,-0.78502,,0.07
5/17/1994 14:26,5/17/1994,5/17/1994,FOMC Rate Decision (Scheduled),0.05,0.05,-0.02,0.05,0.11072,-0.02,-0.06,-0.06,-0.08,-0.06731,-0.09142,-0.07918,-0.08254,0.52219,0.52646,,-0.01501
7/6/1994 14:18,7/6/1994,7/6/1994,FOMC Rate Decision (Scheduled),-0.04,0,0,0,-0.0496,-0.02,-0.01,-0.01,-0.01,0.00322,0.00356,0.01275,0.01784,-0.22844,-0.07824,,0.005
8/16/1994 13:18,8/16/1994,8/16/1994,FOMC Rate Decision (Scheduled),0.06,0.09,0,0,0.12399,0.08,0.04,0.01,0.01,-0.00483,-0.02475,-0.03347,-0.0462,0.25704,0.1836,,0.025
9/27/1994 14:18,9/27/1994,9/27/1994,FOMC Rate Decision (Scheduled),-0.02,-0.09,-0.05,-0.03,-0.09,-0.02,-0.02,-0.01,0,0.00487,0.02886,0.02604,0.03703,-0.17136,-0.26979,,0
11/15/1994 14:20,11/15/1994,11/15/1994,FOMC Rate Decision (Scheduled),0.06,0.08,0.05,0.08,0.12,0.04,0.03,0.03,0.03,0.00816,-0.00732,-0.01325,-0.03146,-0.44889,-0.91315,,-0.005
12/20/1994 14:17,12/20/1994,12/20/1994,FOMC Rate Decision (Scheduled),-0.08,-0.14,-0.05,-0.05,-0.22546,-0.07,-0.01,0.01,0.02,0.01157,0.00369,0.00882,0.00913,0.10486,0,,-0.15
2/1/1995 14:15,2/1/1995,2/1/1995,FOMC Rate Decision (Scheduled),0.06001,0.03,0.03999,0,0.06223,0.06,0.07,0.06,0.05,0.05245,0.03646,0.02165,0.02082,-0.25438,-0.17962,,0.03001
3/28/1995 14:15,3/28/1995,3/28/1995,FOMC Rate Decision (Scheduled),0.01,-0.01,0.01,0.02,-0.01,0.02,0.02,0.02,0.02,0.01299,0.01427,0.00839,0.00859,-0.15511,-0.08885,,-0.075
5/23/1995 14:15,5/23/1995,5/23/1995,FOMC Rate Decision (Scheduled),0,0.02,0,0,0.00001,-0.01,-0.02,-0.01,-0.01,0.00802,0.00694,0.00401,0.00526,-0.04189,0,,-0.37
7/6/1995 14:15,7/6/1995,7/6/1995,FOMC Rate Decision (Scheduled),-0.09,-0.11,0,-0.15,-0.1116,-0.18,-0.26,-0.25,-0.25,-0.19909,-0.17063,-0.13282,-0.10505,0.2993,0.33528,,-0.14
8/22/1995 14:15,8/22/1995,8/22/1995,FOMC Rate Decision (Scheduled),0.01,0.03001,0.01,0,0.03443,0.05,0.05,0.06,0.04,0.03206,0.03125,0.02409,0.02638,-0.18269,-0.17867,,0.075
9/26/1995 14:15,9/26/1995,9/26/1995,FOMC Rate Decision (Scheduled),0,0.03001,0.03,0.03,0.03001,0.07,0.07,0.08,0.05,0.04793,0.04122,0.03557,0.02292,-0.16138,-0.28127,,-0.02
11/15/1995 14:15,11/15/1995,11/15/1995,FOMC Rate Decision (Scheduled),0.02,0.02,0.03,0,0.03999,0.04,0.03,0.02,0.02,0.0238,0.02027,0.01543,0.00726,-0.06111,-0.05076,,-0.045
12/19/1995 14:15,12/19/1995,12/19/1995,FOMC Rate Decision (Scheduled),-0.035,-0.07,-0.06,-0.05,-0.09041,-0.05,-0.03,-0.03,-0.04,-0.04431,-0.02348,-0.02668,-0.01901,0.25709,0.26922,,-0.04
1/31/1996 14:15,1/31/1996,1/31/1996,FOMC Rate Decision (Scheduled),0,-0.03,-0.01,-0.02,-0.03,-0.02,-0.03,-0.04,-0.04,-0.04241,-0.03308,-0.01869,-0.00695,0.05541,0.05523,,-0.14
3/26/1996 11:39,3/26/1996,3/26/1996,FOMC Rate Decision (Scheduled),0,0.02,0.01,-0.01,0.02,0.02,0.02,0.03,,0.03189,0.01714,0.01582,0.01283,0.15989,0.09139,,-0.03
5/21/1996 14:15,5/21/1996,5/21/1996,FOMC Rate Decision (Scheduled),0.005,-0.005,0.01,0.01,0.0155,0,0.01,0.01,0.03,0.01281,0.01734,0.01211,0.01593,-0.19289,-0.2515,,0.02
7/3/1996 14:15,7/3/1996,7/3/1996,FOMC Rate Decision (Scheduled),-0.055,-0.04,-0.04,-0.03,-0.06089,-0.06,-0.02,-0.02,-0.01,-0.02413,-0.01048,-0.00407,0.00268,0.1534,0.05908,,-0.045
8/20/1996 14:15,8/20/1996,8/20/1996,FOMC Rate Decision (Scheduled),-0.01,-0.01,0,0.005,-0.02818,-0.01,0,0.01,0,0.0048,0.00692,0.01199,0.01047,-0.1306,-0.05991,,-0.02
9/24/1996 14:15,9/24/1996,9/24/1996,FOMC Rate Decision (Scheduled),-0.025,-0.13,-0.13,-0.12,-0.13,-0.1,-0.09,-0.08,,-0.05631,-0.05247,-0.02853,-0.01618,0.00873,-0.06494,,-0.01
11/13/1996 14:15,11/13/1996,11/13/1996,FOMC Rate Decision (Scheduled),0,0,0,-0.01,0,-0.02,-0.01,-0.01,-0.03,-0.01115,-0.01365,-0.01174,-0.01998,0.25457,0.28636,,-0.04
12/17/1996 14:15,12/17/1996,12/17/1996,FOMC Rate Decision (Scheduled),0,0.01,0,-0.01,0,-0.01,0,0,,0.02398,0.00345,0.00794,0.00256,-0.06073,-0.16391,,-0.005
2/5/1997 14:15,2/5/1997,2/5/1997,FOMC Rate Decision (Scheduled),-0.025,0,-0.01,0,-0.03043,-0.01,0,0.01,0.03,0.01278,0.01723,0.01587,0.02317,-0.30367,-0.35273,,-0.085
3/25/1997 14:15,3/25/1997,3/25/1997,FOMC Rate Decision (Scheduled),0.0175,0.05,0.035,0.05,0.05,0.045,0.06,0.06,,0.07258,0.0526,0.04082,0.04016,-0.45395,-0.49969,,0.01
5/20/1997 14:15,5/20/1997,5/20/1997,FOMC Rate Decision (Scheduled),-0.035,-0.09,-0.06,-0.09,-0.09864,-0.07,-0.055,-0.045,-0.045,-0.03699,-0.02096,-0.01217,0.00265,0.48372,0.41779,,0.03
7/2/1997 14:15,7/2/1997,7/2/1997,FOMC Rate Decision (Scheduled),-0.025,-0.015,-0.02,-0.02,-0.02672,-0.01,0,-0.005,0,-0.01283,-0.00693,-0.004,-0.00774,0.1788,0.19931,,-0.02
8/19/1997 14:15,8/19/1997,8/19/1997,FOMC Rate Decision (Scheduled),0,0,0.005,0,0,0,0,0.015,0.01,0.00798,0.01372,0.01184,0.01506,-0.37221,-0.48649,,-0.04
9/30/1997 14:13,9/30/1997,9/30/1997,FOMC Rate Decision (Scheduled),-0.005,-0.01,0,-0.015,-0.01,-0.005,-0.01,0.005,,-0.00479,0.00342,0.00786,0.00743,-0.19196,-0.25975,,0.105
11/12/1997 14:12,11/12/1997,11/12/1997,FOMC Rate Decision (Scheduled),-0.03,-0.03,-0.025,-0.02,-0.05,-0.03,-0.025,-0.03,-0.03,-0.01594,-0.02382,-0.01551,-0.01678,-0.3511,-0.49957,,0
