Date,Unscheduled,fomc_latest,main,FF1,FF2,FF3,FF4,MP1,ED1,ED2,ED3,ED4,TFUT02,TFUT05,TFUT10,TFUT30,SP500,SP500FUT,EUR,FF4_MR,NFP_SURP,NFP_12M,SP500_3M,SLOPE_3M,BCOM_3M,TR_SKEW
11/15/1989,0,11/15/1989,0,,,,,-0.02,0.01,0.01,0.01,0,,0.01098,0.00877,0.00913,-0.04727,-0.10283,,,78,2.0489,-0.0149,0.2085,0.0344,-0.1399
12/20/1989,0,12/20/1989,1,,,,,-0.16909,-0.04,-0.03,-0.03,-0.02,,-0.0073,0,0.00302,0.3031,0.15819,,,45,1.9827,-0.0124,-0.1006,0.0346,0.0476
2/8/1990,0,2/8/1990,1,-0.01,-0.01,-0.02,-0.02,-0.014,0.01,0.02,0,0.01,,0.01134,0.01382,0.01331,-0.1519,-0.28154,,-0.02,103,1.8748,-0.0115,0.2713,0.0251,0.1225
3/28/1990,0,3/28/1990,1,0,0,-0.01,-0.02,0,-0.01,-0.03,-0.03,-0.03,,-0.01142,-0.00464,-0.01007,-0.17591,-0.10154,,-0.02,150,1.8492,-0.0096,0.0817,0.0003,0.0354
5/16/1990,0,5/16/1990,1,0,0.01,0,0,0,-0.01,-0.02,-0.01,-0.02,,-0.01145,-0.00938,-0.01028,0.05109,0.25427,,0,-306,1.7291,0.0601,0.1777,0.0188,0.0404
7/5/1990,0,7/5/1990,0,0,-0.01,0,-0.02,0,0.01,0.01,0.01,0.01,,0.01129,0.00458,0.00661,-0.00841,-0.04165,,-0.02,-69,1.7645,0.0578,0.2076,-0.027,0.1552
7/13/1990,1,7/5/1990,1,-0.07999,-0.06,-0.08,-0.08,-0.13777,-0.03,-0.04,-0.04,-0.03,,-0.01884,0.00461,0.00334,0.0407,-0.10744,,-0.08,-60,1.6798,0.0681,0.2518,-0.0018,0.1549
8/22/1990,0,8/22/1990,1,0,0.01,0,0,0,0.01,0,0,0,,-0.00761,-0.00952,-0.01441,0.19733,0.07786,,0,-219,1.6091,-0.097,0.5741,0.1019,0.0283
10/3/1990,0,10/3/1990,0,0.01,-0.01,-0.04,-0.00999,0.01107,-0.01,0,-0.01,0,,-0.00753,-0.01407,-0.01058,-0.1207,0,,-0.00999,-42,1.3687,-0.1273,0.7041,0.1541,0.3869
10/29/1990,1,10/3/1990,1,-0.02,-0.03,-0.01,-0.02,-0.03,0.01,0,0.01,0,,0.00749,0.01398,0.01045,-0.52277,-0.53637,,-0.02,-101,1.0565,-0.1553,0.4977,0.1049,0.3832
11/14/1990,0,11/14/1990,1,0.01,0.02,0.02,0.01,0.01875,0.01,0.01,-0.01,-0.01,,0.00742,0.00914,0.0067,-0.01568,-0.07803,,0.01,-46,0.8244,-0.0645,0.0987,0.0266,0.5042
11/15/1990,0,11/14/1990,0,,,,,,0.005,0.01,0,-0.01,,0,0.0068,0.0033,-0.1873,,,,-46,0.8244,-0.0576,-0.0331,0.0063,0.5061
11/16/1990,0,11/14/1990,0,,,,,,0.005,0.005,0.01,0,,0.0037,0.0045,0.005,-0.4171,,,,-46,0.8244,-0.0702,-0.0492,-0.0057,0.5056
12/7/1990,1,11/14/1990,0,-0.07,-0.01,-0.02,-0.04,-0.09042,-0.03,-0.02,-0.02,-0.03,,-0.01464,-0.00893,-0.0064,0.08546,0.16721,,-0.04,-192,0.4294,0.0143,-0.2472,-0.102,0.4538
12/18/1990,0,12/18/1990,1,-0.09,-0.19,-0.09,-0.15,-0.21462,-0.14,-0.11,-0.09,0.02,,-0.08395,-0.04886,-0.04126,0.71884,0.95045,,-0.15,-192,0.4294,0.0286,-0.2314,-0.1175,0.5125
12/19/1990,0,12/18/1990,0,,,,,,0.015,0.03,0.035,0.025,,0,0.0111,0.0063,0.0977,,,,-192,0.4294,0.0379,-0.3073,-0.1164,0.5245
1/8/1991,1,12/18/1990,1,-0.1,-0.11,-0.06001,-0.1,-0.13478,-0.12,-0.12,-0.09,-0.1,-0.02449,-0.05144,-0.06304,-0.04586,0.36169,0.48769,,-0.1,75,0.3046,0.0129,0.1902,-0.1684,0.558
