monthly,mr_new,mr_rep,mr_ext
2010m9,-.0033075192,,-.0051267366
2010m10,0,,0
2010m11,.024601268,,.022491043
2010m12,.018607313,,.018622024
2011m1,-.01803424,,-.01464724
2011m2,0,,0
2011m3,-.018788841,,-.024536885
2011m4,-.023125388,,-.023237471
2011m5,0,,0
2011m6,-.0068273898,,-.0087261321
2011m7,0,,0
2011m8,.039688744,,.031889055
2011m9,.038658086,,.03216039
2011m10,0,,0
2011m11,-.026544033,,-.02458512
2011m12,-.0087655587,,-.020545449
2012m1,.0019586412,,-.0045614536
2012m2,0,,0
2012m3,.0041301437,,-.0025051371
2012m4,.0072784685,,.010018115
2012m5,0,,0
2012m6,.026215991,,.033700008
2012m7,0,,0
2012m8,-.0056099566,,-.0051767332
2012m9,.012758295,,.02037509
2012m10,.011897253,,.013409553
2012m11,0,,0
2012m12,.016326422,,.014359735
2013m1,-.000096361808,,-.00056165841
2013m2,0,,0
2013m3,.011140238,,.021235768
2013m4,0,,0
2013m5,.016320866,,.017155634
2013m6,.023574321,,.023723129
2013m7,-.013478005,,-.011400142
2013m8,0,,0
2013m9,.0013010477,,.0056472942
2013m10,.0042658262,,.0018552977
2013m11,0,,0
2013m12,.019164559,,.017992698
2014m1,.018033192,,.012067776
2014m2,0,,0
2014m3,.013210686,,.010561658
2014m4,.0038424854,,-.0036380007
2014m5,0,,0
2014m6,-.019901432,,-.013701402
2014m7,-.016224077,,-.017045446
2014m8,0,,0
2014m9,.0038498805,,.0091720624
2014m10,.0082507655,,.012410119
2014m11,0,,0
2014m12,.0045124693,,.0067412807
2015m1,.0023454598,,.00036980546
2015m2,0,,0
2015m3,-.018609034,,-.023970827
2015m4,-.027419368,,-.025389045
2015m5,0,,0
2015m6,-.04220989,,-.032989278
2015m7,-.0090311263,,-.0037267704
2015m8,0,,0
2015m9,-.081167988,,-.073123209
2015m10,.024404105,,.032211851
2015m11,0,,0
2015m12,.015889604,,.023186037
2016m1,-.0089017274,,-.0018796363
2016m2,0,,0
2016m3,-.064312868,,-.062692858
2016m4,-.00200705,,.01736097
2016m5,0,,0
2016m6,-.033434816,,-.024589757
2016m7,.0034784074,,.013016563
2016m8,0,,0
2016m9,-.017466446,,-.013052898
2016m10,0,,0
2016m11,.0069296737,,-.0061052353
2016m12,.015775502,,.011651751
2017m1,0,,0
2017m2,-.0040506944,,-.0037389142
2017m3,-.0095459009,,-.025854517
2017m4,0,,0
2017m5,.0085197669,,.016699651
2017m6,.024138916,,.028254578
2017m7,-.019491808,,-.011323108
2017m8,0,,0
2017m9,.021354275,,.012846907
2017m10,0,,0
2017m11,-.0073522683,,-.0015078071
2017m12,-.0061328439,,-.0091978051
2018m1,.0018166772,,.003964405
2018m2,0,,0
2018m3,.00027164901,,.00065811566
2018m4,0,,0
2018m5,.012166855,,.01733885
2018m6,-.0082337009,,.00064401352
2018m7,0,,0
2018m8,.031400654,,.022964323
2018m9,.028269587,,.024160242
2018m10,0,,0
2018m11,.00021399006,,.00054766523
2018m12,.028942589,,.023795418
2019m1,.0012411076,,.0089550093
2019m2,0,,0
2019m3,.0032427278,,.0021715784
2019m4,0,,0
2019m5,.017896665,,.029650681
2019m6,-.073387213,,-.072074056
2019m7,.087813213,,.085474566
2019m8,0,,0
2019m9,.045626674,,.069827445
2019m10,.03634664,,.02890452
2019m11,0,,0
2019m12,-.0016053177,,.0082620615
,0,,0
