Date,schedstr,MP1,MP2,FF1,FF2,FF3,FF4,FF5,FF6,ED1,ED2,ED3,ED4
3/1/1999,3/30/1999,0,-0.023846154,0.005,0,-0.01,-0.02,0,-0.01,-0.0125,-0.025,-0.03,-0.0275
4/1/1999,,,,,,,,,,,,,
5/1/1999,5/18/1999,0,0.03,0,-0.01,0.03,0.03,0.075,0.06,0.0325,0.115,0.15,0.16
6/1/1999,6/30/1999,-0.045,-0.07,0,-0.045,-0.06,-0.07,-0.08,-0.09,-0.08,-0.1,-0.105,-0.12
7/1/1999,,,,,,,,,,,,,
8/1/1999,8/24/1999,0.0375,0.004711538,0.015,0.0375,0.01,0.025,0.025,0.005,0.01,0,-0.0025,-0.0225
9/1/1999,,,,,,,,,,,,,
10/1/1999,10/5/1999,-0.047692308,0.000934066,-0.04,-0.025,0,0.045,0.015,0.08,0.03,0.0725,0.095,0.09
11/1/1999,11/16/1999,0.053571429,0.151,0.025,0.085,0.085,0.045,0.075,0.1,0.0625,0.075,0.07,0.06
12/1/1999,12/21/1999,0.0155,-0.006518519,0.005,-0.01,-0.005,-0.005,0.02,0,0.015,0.045,0.04,0.05
1/1/2000,,,,,,,,,,,,,
2/1/2000,2/2/2000,-0.053703704,0.004277778,-0.05,-0.035,-0.015,0.005,0,-0.03,-0.02,-0.005,0.0025,0.015
3/1/2000,3/21/2000,-0.031,0.022733333,-0.01,-0.02,-0.005,-0.01,-0.005,-0.02,-0.005,-0.005,0.005,0
4/1/2000,,,,,,,,,,,,,
5/1/2000,5/16/2000,0.041333333,0.05,0.02,0.05,0.05,0.055,0.04,0.03,0.05125,0.0525,0.05,0.045
6/1/2000,6/28/2000,-0.02,-0.02,0,-0.02,-0.02,-0.015,-0.03,-0.01,-0.025,-0.03,-0.045,-0.045
7/1/2000,,,,,,,,,,,,,
8/1/2000,8/22/2000,0.017222222,-0.001845238,0.005,-0.005,0,0.105,0.005,0,-0.0025,0.015,0.02,0.02
9/1/2000,,,,,,,,,,,,,
10/1/2000,10/3/2000,0,0.01,0,0.005,0.01,0.02,0.03,0.03,0.0225,0.035,0.045,0.06
11/1/2000,11/15/2000,0,0,0,0,0.005,0.015,0,0,0.0075,0.01,0.005,0.0025
12/1/2000,12/19/2000,0.051666667,0.015,0.02,0.045,0.015,0.01,0.01,-0.015,0.035,0.0225,0.0075,-0.005
1/1/2001,1/31/2001,-0.3575,-0.102727273,-0.35,-0.145,-0.11,-0.18,-0.08,-0.145,-0.11,-0.1475,-0.135,-0.125
2/1/2001,,,,,,,,,,,,,
3/1/2001,3/20/2001,0.056363636,-0.072215909,0.02,0.0275,-0.01,-0.07,-0.06,0,-0.04,-0.065,-0.085,-0.0825
4/1/2001,,-0.4625,-0.38984375,-0.185,-0.425,-0.46,-0.43,-0.47,-0.5,-0.48,-0.45,-0.44,-0.22
5/1/2001,5/15/2001,-0.096875,-0.12,-0.05,-0.09,-0.12,-0.125,-0.12,-0.2,-0.11,-0.1375,-0.13,-0.1575
6/1/2001,6/27/2001,0.105,0.043,0.015,0.105,0.085,0.075,0.07,0.065,0.075,0.075,0.075,0.06
7/1/2001,,,,,,,,,,,,,
8/1/2001,8/21/2001,0.02635,-0.023196552,0.0085,0.015,-0.02,-0.005,-0.055,-0.02,-0.0275,-0.09,-0.09,-0.11
9/1/2001,,,,,,,,,,,,,
10/1/2001,10/2/2001,-0.037413793,-0.046896552,-0.035,-0.045,-0.045,-0.04,-0.09,-0.11,-0.0475,-0.07,-0.0625,-0.0575
11/1/2001,11/6/2001,-0.146875,-0.12071875,-0.1175,-0.13,-0.14,-0.145,-0.165,-0.15,-0.16,-0.1525,-0.1625,-0.165
12/1/2001,12/11/2001,-0.00775,-0.035,-0.005,0.01,-0.035,-0.03,-0.05,-0.095,-0.02,-0.06,-0.095,-0.095
1/1/2002,1/30/2002,0.02,0.02,0,0.02,0.02,0.0225,0.0225,0.03,0.025,0.02,0.0275,0.025
2/1/2002,,,,,,,,,,,,,
3/1/2002,3/19/2002,-0.03875,-0.03390625,-0.015,-0.02,-0.035,-0.04,-0.0475,-0.01,-0.06,-0.075,-0.08,-0.09
4/1/2002,,,,,,,,,,,,,
5/1/2002,5/7/2002,0,0,0,0.005,0,-0.02,-0.03,-0.045,-0.015,-0.03,-0.0525,-0.065
6/1/2002,6/26/2002,0,0.008611111,0,0,0.005,0.005,0.01,0.005,0.015,0.01,0.005,0.0025
7/1/2002,,,,,,,,,,,,,
8/1/2002,8/13/2002,0.034444444,-0.01,0.02,0.03,-0.01,-0.04,-0.035,-0.05,-0.0225,-0.075,-0.155,-0.205
9/1/2002,9/24/2002,0.02,0.00125,0.005,0.02,0.005,-0.005,0.01,0.01,-0.0025,-0.01,-0.02,-0.035
10/1/2002,,,,,,,,,,,,,
11/1/2002,11/6/2002,-0.203125,-0.098869048,-0.1625,-0.1325,-0.105,-0.075,-0.09,-0.13,-0.0825,-0.06,-0.065,-0.065
12/1/2002,12/10/2002,0,0.005,0,-0.005,0.005,0.005,-0.01,0,0.005,0.01,0.03,0.04
1/1/2003,1/29/2003,0.005,0.028846154,0,0.005,0.015,0.025,0.0275,0.0175,0.0325,0.04,0.055,0.05
2/1/2003,,,,,,,,,,,,,
3/1/2003,3/18/2003,0.023846154,-0.011923077,0.01,0.015,-0.005,-0.01,-0.005,0.01,0.01,-0.005,0.0025,-0.01
4/1/2003,,,,,,,,,,,,,
5/1/2003,5/6/2003,0.031,-0.025,0.025,0.015,-0.025,-0.05,-0.03,-0.055,-0.03,-0.0775,-0.11,-0.145
6/1/2003,6/25/2003,0.125,0.108684211,0.03,0.125,0.115,0.105,0.1,0.105,0.115,0.115,0.135,0.13
7/1/2003,,,,,,,,,,,,,
8/1/2003,8/12/2003,0,0,0,0,0,0,-0.01,-0.01,-0.005,-0.015,-0.05,-0.08
9/1/2003,9/16/2003,0,0.005,0,0,0.005,0,-0.005,-0.0025,0,-0.005,0,-0.0025
10/1/2003,10/28/2003,0,0,0,0,0,-0.01,-0.025,-0.04,-0.0225,-0.085,-0.12,-0.125
11/1/2003,,,,,,,,,,,,,
12/1/2003,12/9/2003,0,-0.005,0,0.005,-0.005,-0.005,0,0.015,-0.005,0.0025,0.05,0.075
1/1/2004,1/28/2004,0,0.020666667,0,0,0.01,0.01,0.04,0.025,0.0275,0.11,0.1875,0.245
2/1/2004,,,,,,,,,,,,,
3/1/2004,3/16/2004,0.010333333,0.004209877,0.005,0,0.005,-0.01,-0.02,-0.025,-0.025,-0.055,-0.085,-0.1
4/1/2004,,,,,,,,,,,,,
5/1/2004,5/4/2004,-0.011481481,-0.005,-0.01,-0.0075,-0.005,-0.0075,-0.0125,-0.005,-0.005,0.005,0.015,0.015
6/1/2004,6/30/2004,-0.01,-0.024761905,0,-0.01,-0.02,-0.015,-0.0175,-0.055,-0.04,-0.03,-0.025,-0.025
7/1/2004,,,,,,,,,,,,,
8/1/2004,8/10/2004,0.014761905,0.015555556,0.01,0.015,0.035,0.04,0.05,0.055,0.035,0.045,0.05,0.05
9/1/2004,9/21/2004,0,0,0,0,0,-0.005,0,-0.005,-0.015,-0.015,-0.02,-0.03
10/1/2004,,,,,,,,,,,,,
11/1/2004,11/10/2004,0,-0.009117647,0,-0.005,-0.005,-0.01,0,0,-0.005,-0.025,-0.035,-0.05
12/1/2004,12/14/2004,0,-0.005384615,0,0.0025,-0.005,-0.005,-0.01,-0.015,-0.0075,-0.015,-0.015,-0.02
1/1/2005,,,,,,,,,,,,,
2/1/2005,2/2/2005,-0.005384615,0.013162393,-0.005,0,0,0,0,-0.01,-0.005,-0.01,-0.015,-0.015
3/1/2005,3/22/2005,0,0.008303571,0,0,0.0075,0.01,0.015,0.035,0.03,0.07,0.095,0.105
4/1/2005,,,,,,,,,,,,,
5/1/2005,5/3/2005,0,0.005,0,0,0.005,0.01,0.01,0.01,0.01,0.025,0.0325,0.035
6/1/2005,6/30/2005,-0.0025,0.008068182,0,-0.0025,0.005,0.015,0.035,0.035,0.045,0.055,0.055,0.06
7/1/2005,,,,,,,,,,,,,
8/1/2005,8/9/2005,-0.007045455,-0.000909091,-0.005,-0.005,-0.01,-0.015,-0.015,-0.01,-0.005,-0.02,-0.025,-0.03
9/1/2005,9/20/2005,0.045,0.045,0.015,0.03,0.045,0.035,0.035,0.03,0.035,0.025,0.015,0.02
10/1/2005,,,,,,,,,,,,,
11/1/2005,11/1/2005,-0.005172414,0.003735632,-0.005,0,0,0,0.005,0.02,0.005,0.015,0.015,0.015
12/1/2005,12/13/2005,-0.008611111,-0.005,-0.005,0,-0.005,-0.005,-0.02,-0.02,-0.0025,-0.025,-0.04,-0.04
1/1/2006,1/31/2006,0.01,0.025,0,0.01,0.01,0.025,0.025,0.025,0.03,0.025,0.035,0.04
2/1/2006,,,,,,,,,,,,,
3/1/2006,3/28/2006,0.005,0.03452381,0.005,0.005,0.025,0.03,0.035,0.03,0.035,0.05,0.06,0.06
4/1/2006,,,,,,,,,,,,,
5/1/2006,5/10/2006,0,0.03,0,0.01,0.03,0.035,0.035,0.045,0.035,0.055,0.065,0.065
6/1/2006,6/29/2006,-0.015,-0.035217391,-0.005,-0.015,-0.03,-0.03,-0.04,-0.04,-0.05,-0.055,-0.055,-0.055
7/1/2006,,,,,,,,,,,,,
8/1/2006,8/8/2006,-0.047173913,-0.010652174,-0.035,-0.035,-0.035,-0.035,-0.03,-0.045,-0.035,-0.035,-0.025,-0.03
9/1/2006,9/20/2006,0,0,0,-0.005,0,0,0.005,0.0075,0.015,0.015,0.02,0.03
10/1/2006,10/25/2006,-0.005,-0.005,0.005,-0.005,-0.005,-0.005,-0.005,-0.02,-0.005,-0.005,-0.015,-0.01
11/1/2006,,,,,,,,,,,,,
12/1/2006,12/12/2006,0,-0.0025,0,0,-0.0025,-0.005,-0.015,-0.02,-0.005,-0.015,-0.05,-0.055
1/1/2007,1/31/2007,-0.005,-0.005,0,-0.005,-0.005,0,-0.005,0,0,-0.005,-0.01,-0.01
